"Código
CUOC","Ocupación
","Descripción Completa"
81420,"
                                        Operadores de máquinas para fabricar productos de material plástico
                                    ","Alimentador de máquina de corte de plástico. Operador de máquina amoladora de material plástico. Operador de máquina de acabado de productos de plástico. Operador de máquina de grabado al ácido para material plástico"
81430,"
                                        Operadores de máquinas para fabricar productos de papel
                                    ","Operador de máquina de fabricación de artículos de cartón. Operador de máquina de fabricación de artículos de papel. Prensista troquelador artículos de papel"
81510,"
                                        Operadores de máquinas de preparación de fibras, hilado y devanado
                                    ","Operador de abridora y mezcladora de textiles. Operador de máquina abridora y mezcladora textiles. Operador de máquina acondicionadora de fibras. Operador de maquina reunidora de mechas de algodón. Operador reunidora mechas algodón"
81520,"
                                        Operadores de telares y otras máquinas tejedoras
                                    ","Operador de máquina automática de textiles. Operador de máquina de fabricación de alfombras. Operador de máquina tejedora de alfombras. Operador de telar de tejido alfombras"
81530,"
                                        Operadores de máquinas de coser y bordar
                                    ","Acolchador. Operador de máquina de acolchado. Operador de máquina de coser artículos textiles. Operador de máquina de coser con doble aguja. Operador máquina de coser doble aguja. Operador máquina plana bordadora y apliques. Programador de máquina bordadora y de apliques"
81540,"
                                        Operadores de máquinas de blanqueamiento, teñido y limpieza de tejidos
                                    ","Operador de equipo para acabado con laser textil. Operador de línea de acabado de textiles. Operador de máquina de acabados desgaste de prendas. Operador de máquina de tintura y acabado de textiles. Operador de máquinas de tintura, acabado textil y prendas. Operador de máquinas para acabados en prendas"
81550,"
                                        Operadores de máquinas de tratamiento de pieles y cueros
                                    ","Operador de máquina adobadora para la preparación de cueros"
81560,"
                                        Operadores de máquinas para la fabricación de calzado y afines
                                    ","Operan y supervisan máquinas para la fabricación o reparación de calzado normal o especial, bolsos y otros artículos de marroquinería; preparan y alistan material, desbastan, pre-arman, ensamblan, cosen piezas, montan, ensuelan y terminan los productos. Se pueden desempeñar en fábricas de calzado, marroquinería, entre otros."
81570,"
                                        Operadores de máquinas de lavandería
                                    ","Auxiliar de lavandería. Operador de equipo de limpieza de alfombras"
81590,"
                                        Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero no clasificadas en otras ocupaciones
                                    ","Esta ocupación abarca a operadores de máquinas para fabricar productos textiles y artículos de piel y cuero no clasificados en otras ocupaciones en el Subgrupo 815: Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero. Por ejemplo, incluye a los encargados de manejar y supervisar las máquinas utilizadas para confeccionar sombreros, tiendas de campaña, colchones y artículos diversos, como trenzados y otros adornos. Se pueden desempeñar en empresas de textiles, empresas que fabrican prendas de vestir, acolchados, entre otros."
81600,"
                                        Operadores de máquinas para elaborar alimentos y productos afines
                                    ","Aprestan, operan y supervisan el funcionamiento de máquinas utilizadas para sacrificar animales, cortan la carne del cuerpo de los animales muertos (reses, aves y pescados); Operan máquinas de control de proceso multifuncional o máquinas de función simple para procesar alimentos, bebidas, hojas de tabaco y sus derivados. Se pueden desempeñar en plantas de procesamiento de frutas y verduras, lácteos, harineras, panaderías industriales, ingenios, plantas procesadoras de carne, cervecerías, pescado, fabricantes de cigarrillos y tabacos, entre otros."
81711,"
                                        Operadores de máquinas para la fabricación de papel
                                    ","Operador de máquina de acabado de papel. Operador de máquina fabricación y acabado papel"
